"産業小分類，従業者規模","総数_事業所数","総数_従業者数(注)","総数_従業者数(注)_男","総数_従業者数(注)_女","総数_従業者数(注)_うち常用雇用者(注)","総数_従業者数(注)_うち常用雇用者(注)_男","総数_従業者数(注)_うち常用雇用者(注)_女","個人_事業所数","個人_従業者数(注)","個人_従業者数(注)_男","個人_従業者数(注)_女","個人_従業者数(注)_うち常用雇用者(注)","個人_従業者数(注)_うち常用雇用者(注)_男","個人_従業者数(注)_うち常用雇用者(注)_女","法人_事業所数","法人_従業者数(注)","法人_従業者数(注)_男","法人_従業者数(注)_女","法人_従業者数(注)_うち常用雇用者(注)","法人_従業者数(注)_うち常用雇用者(注)_男","法人_従業者数(注)_うち常用雇用者(注)_女","法人_会社_事業所数","法人_会社_従業者数(注)","法人_会社_従業者数(注)_男","法人_会社_従業者数(注)_女","法人_会社_従業者数(注)_うち常用雇用者(注)","法人_会社_従業者数(注)_うち常用雇用者(注)_男","法人_会社_従業者数(注)_うち常用雇用者(注)_女","法人_会社以外の法人_事業所数","法人_会社以外の法人_従業者数(注)","法人_会社以外の法人_従業者数(注)_男","法人_会社以外の法人_従業者数(注)_女","法人_会社以外の法人_従業者数(注)_うち常用雇用者(注)","法人_会社以外の法人_従業者数(注)_うち常用雇用者(注)_男","法人_会社以外の法人_従業者数(注)_うち常用雇用者(注)_女","法人でない団体_事業所数","法人でない団体_従業者数(注)","法人でない団体_従業者数(注)_男","法人でない団体_従業者数(注)_女","法人でない団体_従業者数(注)_うち常用雇用者(注)","法人でない団体_従業者数(注)_うち常用雇用者(注)_男","法人でない団体_従業者数(注)_うち常用雇用者(注)_女"
"　E 製造業_　23 非鉄金属製造業_　230 管理，補助的経済活動を行う事業所_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　230 管理，補助的経済活動を行う事業所_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　230 管理，補助的経済活動を行う事業所_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　230 管理，補助的経済活動を行う事業所_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　230 管理，補助的経済活動を行う事業所_(再掲)5人以下","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　230 管理，補助的経済活動を行う事業所_(再掲)20人以下","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　231 非鉄金属第１次製錬・精製業","1.0","102.0","99.0","3.0","99.0","96.0","3.0","-","-","-","-","-","-","-","1.0","102.0","99.0","3.0","99.0","96.0","3.0","1.0","102.0","99.0","3.0","99.0","96.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　231 非鉄金属第１次製錬・精製業_1～4人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　231 非鉄金属第１次製錬・精製業_5～9人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　231 非鉄金属第１次製錬・精製業_10～19人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　231 非鉄金属第１次製錬・精製業_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　231 非鉄金属第１次製錬・精製業_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　231 非鉄金属第１次製錬・精製業_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　231 非鉄金属第１次製錬・精製業_100人以上","1.0","102.0","99.0","3.0","99.0","96.0","3.0","-","-","-","-","-","-","-","1.0","102.0","99.0","3.0","99.0","96.0","3.0","1.0","102.0","99.0","3.0","99.0","96.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　231 非鉄金属第１次製錬・精製業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　231 非鉄金属第１次製錬・精製業_(再掲)5人以下","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　231 非鉄金属第１次製錬・精製業_(再掲)20人以下","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　232 非鉄金属第２次製錬・精製業(非鉄金属合金製造業を含む)","4.0","8.0","8.0","-","5.0","5.0","-","3.0","5.0","5.0","-","2.0","2.0","-","1.0","3.0","3.0","-","3.0","3.0","-","1.0","3.0","3.0","-","3.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　232 非鉄金属第２次製錬・精製業(非鉄金属合金製造業を含む)_1～4人","4.0","8.0","8.0","-","5.0","5.0","-","3.0","5.0","5.0","-","2.0","2.0","-","1.0","3.0","3.0","-","3.0","3.0","-","1.0","3.0","3.0","-","3.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　232 非鉄金属第２次製錬・精製業(非鉄金属合金製造業を含む)_5～9人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　232 非鉄金属第２次製錬・精製業(非鉄金属合金製造業を含む)_10～19人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　232 非鉄金属第２次製錬・精製業(非鉄金属合金製造業を含む)_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　232 非鉄金属第２次製錬・精製業(非鉄金属合金製造業を含む)_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　232 非鉄金属第２次製錬・精製業(非鉄金属合金製造業を含む)_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　232 非鉄金属第２次製錬・精製業(非鉄金属合金製造業を含む)_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　232 非鉄金属第２次製錬・精製業(非鉄金属合金製造業を含む)_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　232 非鉄金属第２次製錬・精製業(非鉄金属合金製造業を含む)_(再掲)5人以下","4.0","8.0","8.0","-","5.0","5.0","-","3.0","5.0","5.0","-","2.0","2.0","-","1.0","3.0","3.0","-","3.0","3.0","-","1.0","3.0","3.0","-","3.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　232 非鉄金属第２次製錬・精製業(非鉄金属合金製造業を含む)_(再掲)20人以下","4.0","8.0","8.0","-","5.0","5.0","-","3.0","5.0","5.0","-","2.0","2.0","-","1.0","3.0","3.0","-","3.0","3.0","-","1.0","3.0","3.0","-","3.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　233 非鉄金属・同合金圧延業(抽伸，押出しを含む)","6.0","79.0","72.0","7.0","75.0","68.0","7.0","2.0","6.0","5.0","1.0","4.0","3.0","1.0","4.0","73.0","67.0","6.0","71.0","65.0","6.0","4.0","73.0","67.0","6.0","71.0","65.0","6.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　233 非鉄金属・同合金圧延業(抽伸，押出しを含む)_1～4人","3.0","7.0","6.0","1.0","5.0","4.0","1.0","1.0","1.0","1.0","-","-","-","-","2.0","6.0","5.0","1.0","5.0","4.0","1.0","2.0","6.0","5.0","1.0","5.0","4.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　233 非鉄金属・同合金圧延業(抽伸，押出しを含む)_5～9人","1.0","5.0","4.0","1.0","4.0","3.0","1.0","1.0","5.0","4.0","1.0","4.0","3.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　233 非鉄金属・同合金圧延業(抽伸，押出しを含む)_10～19人","1.0","16.0","13.0","3.0","16.0","13.0","3.0","-","-","-","-","-","-","-","1.0","16.0","13.0","3.0","16.0","13.0","3.0","1.0","16.0","13.0","3.0","16.0","13.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　233 非鉄金属・同合金圧延業(抽伸，押出しを含む)_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　233 非鉄金属・同合金圧延業(抽伸，押出しを含む)_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　233 非鉄金属・同合金圧延業(抽伸，押出しを含む)_50～99人","1.0","51.0","49.0","2.0","50.0","48.0","2.0","-","-","-","-","-","-","-","1.0","51.0","49.0","2.0","50.0","48.0","2.0","1.0","51.0","49.0","2.0","50.0","48.0","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　233 非鉄金属・同合金圧延業(抽伸，押出しを含む)_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　233 非鉄金属・同合金圧延業(抽伸，押出しを含む)_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　233 非鉄金属・同合金圧延業(抽伸，押出しを含む)_(再掲)5人以下","4.0","12.0","10.0","2.0","9.0","7.0","2.0","2.0","6.0","5.0","1.0","4.0","3.0","1.0","2.0","6.0","5.0","1.0","5.0","4.0","1.0","2.0","6.0","5.0","1.0","5.0","4.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　233 非鉄金属・同合金圧延業(抽伸，押出しを含む)_(再掲)20人以下","5.0","28.0","23.0","5.0","25.0","20.0","5.0","2.0","6.0","5.0","1.0","4.0","3.0","1.0","3.0","22.0","18.0","4.0","21.0","17.0","4.0","3.0","22.0","18.0","4.0","21.0","17.0","4.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　234 電線・ケーブル製造業","4.0","157.0","80.0","77.0","155.0","78.0","77.0","1.0","2.0","1.0","1.0","1.0","-","1.0","3.0","155.0","79.0","76.0","154.0","78.0","76.0","3.0","155.0","79.0","76.0","154.0","78.0","76.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　234 電線・ケーブル製造業_1～4人","1.0","2.0","1.0","1.0","1.0","-","1.0","1.0","2.0","1.0","1.0","1.0","-","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　234 電線・ケーブル製造業_5～9人","1.0","8.0","7.0","1.0","7.0","6.0","1.0","-","-","-","-","-","-","-","1.0","8.0","7.0","1.0","7.0","6.0","1.0","1.0","8.0","7.0","1.0","7.0","6.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　234 電線・ケーブル製造業_10～19人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　234 電線・ケーブル製造業_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　234 電線・ケーブル製造業_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　234 電線・ケーブル製造業_50～99人","2.0","147.0","72.0","75.0","147.0","72.0","75.0","-","-","-","-","-","-","-","2.0","147.0","72.0","75.0","147.0","72.0","75.0","2.0","147.0","72.0","75.0","147.0","72.0","75.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　234 電線・ケーブル製造業_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　234 電線・ケーブル製造業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　234 電線・ケーブル製造業_(再掲)5人以下","1.0","2.0","1.0","1.0","1.0","-","1.0","1.0","2.0","1.0","1.0","1.0","-","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　234 電線・ケーブル製造業_(再掲)20人以下","2.0","10.0","8.0","2.0","8.0","6.0","2.0","1.0","2.0","1.0","1.0","1.0","-","1.0","1.0","8.0","7.0","1.0","7.0","6.0","1.0","1.0","8.0","7.0","1.0","7.0","6.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　235 非鉄金属素形材製造業","2.0","135.0","121.0","14.0","127.0","113.0","14.0","-","-","-","-","-","-","-","2.0","135.0","121.0","14.0","127.0","113.0","14.0","2.0","135.0","121.0","14.0","127.0","113.0","14.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　235 非鉄金属素形材製造業_1～4人","1.0","4.0","4.0","-","3.0","3.0","-","-","-","-","-","-","-","-","1.0","4.0","4.0","-","3.0","3.0","-","1.0","4.0","4.0","-","3.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　235 非鉄金属素形材製造業_5～9人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　235 非鉄金属素形材製造業_10～19人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　235 非鉄金属素形材製造業_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　235 非鉄金属素形材製造業_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　235 非鉄金属素形材製造業_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　235 非鉄金属素形材製造業_100人以上","1.0","131.0","117.0","14.0","124.0","110.0","14.0","-","-","-","-","-","-","-","1.0","131.0","117.0","14.0","124.0","110.0","14.0","1.0","131.0","117.0","14.0","124.0","110.0","14.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　235 非鉄金属素形材製造業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　235 非鉄金属素形材製造業_(再掲)5人以下","1.0","4.0","4.0","-","3.0","3.0","-","-","-","-","-","-","-","-","1.0","4.0","4.0","-","3.0","3.0","-","1.0","4.0","4.0","-","3.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　235 非鉄金属素形材製造業_(再掲)20人以下","1.0","4.0","4.0","-","3.0","3.0","-","-","-","-","-","-","-","-","1.0","4.0","4.0","-","3.0","3.0","-","1.0","4.0","4.0","-","3.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　239 その他の非鉄金属製造業","5.0","148.0","134.0","14.0","143.0","130.0","13.0","1.0","3.0","3.0","-","2.0","2.0","-","4.0","145.0","131.0","14.0","141.0","128.0","13.0","4.0","145.0","131.0","14.0","141.0","128.0","13.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　239 その他の非鉄金属製造業_1～4人","1.0","3.0","3.0","-","2.0","2.0","-","1.0","3.0","3.0","-","2.0","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　239 その他の非鉄金属製造業_5～9人","1.0","6.0","3.0","3.0","6.0","3.0","3.0","-","-","-","-","-","-","-","1.0","6.0","3.0","3.0","6.0","3.0","3.0","1.0","6.0","3.0","3.0","6.0","3.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　239 その他の非鉄金属製造業_10～19人","1.0","17.0","13.0","4.0","15.0","12.0","3.0","-","-","-","-","-","-","-","1.0","17.0","13.0","4.0","15.0","12.0","3.0","1.0","17.0","13.0","4.0","15.0","12.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　239 その他の非鉄金属製造業_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　239 その他の非鉄金属製造業_30～49人","1.0","41.0","37.0","4.0","40.0","36.0","4.0","-","-","-","-","-","-","-","1.0","41.0","37.0","4.0","40.0","36.0","4.0","1.0","41.0","37.0","4.0","40.0","36.0","4.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　239 その他の非鉄金属製造業_50～99人","1.0","81.0","78.0","3.0","80.0","77.0","3.0","-","-","-","-","-","-","-","1.0","81.0","78.0","3.0","80.0","77.0","3.0","1.0","81.0","78.0","3.0","80.0","77.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　239 その他の非鉄金属製造業_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　239 その他の非鉄金属製造業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　239 その他の非鉄金属製造業_(再掲)5人以下","1.0","3.0","3.0","-","2.0","2.0","-","1.0","3.0","3.0","-","2.0","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　23 非鉄金属製造業_　239 その他の非鉄金属製造業_(再掲)20人以下","3.0","26.0","19.0","7.0","23.0","17.0","6.0","1.0","3.0","3.0","-","2.0","2.0","-","2.0","23.0","16.0","7.0","21.0","15.0","6.0","2.0","23.0","16.0","7.0","21.0","15.0","6.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　24 金属製品製造業_","339.0","4662.0","3880.0","782.0","4045.0","3422.0","623.0","128.0","453.0","338.0","115.0","256.0","182.0","74.0","211.0","4209.0","3542.0","667.0","3789.0","3240.0","549.0","207.0","4167.0","3501.0","666.0","3750.0","3202.0","548.0","4.0","42.0","41.0","1.0","39.0","38.0","1.0","-","-","-","-","-","-","-"
"　E 製造業_　24 金属製品製造業__1～4人","148.0","364.0","262.0","102.0","163.0","110.0","53.0","94.0","211.0","155.0","56.0","79.0","49.0","30.0","54.0","153.0","107.0","46.0","84.0","61.0","23.0","52.0","150.0","104.0","46.0","81.0","58.0","23.0","2.0","3.0","3.0","-","3.0","3.0","-","-","-","-","-","-","-","-"
"　E 製造業_　24 金属製品製造業__5～9人","76.0","520.0","386.0","134.0","365.0","278.0","87.0","28.0","176.0","125.0","51.0","122.0","84.0","38.0","48.0","344.0","261.0","83.0","243.0","194.0","49.0","48.0","344.0","261.0","83.0","243.0","194.0","49.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　24 金属製品製造業__10～19人","60.0","792.0","629.0","163.0","670.0","544.0","126.0","6.0","66.0","58.0","8.0","55.0","49.0","6.0","54.0","726.0","571.0","155.0","615.0","495.0","120.0","54.0","726.0","571.0","155.0","615.0","495.0","120.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　24 金属製品製造業__20～29人","16.0","387.0","313.0","74.0","355.0","293.0","62.0","-","-","-","-","-","-","-","16.0","387.0","313.0","74.0","355.0","293.0","62.0","16.0","387.0","313.0","74.0","355.0","293.0","62.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　24 金属製品製造業__30～49人","15.0","578.0","480.0","98.0","529.0","437.0","92.0","-","-","-","-","-","-","-","15.0","578.0","480.0","98.0","529.0","437.0","92.0","14.0","539.0","442.0","97.0","493.0","402.0","91.0","1.0","39.0","38.0","1.0","36.0","35.0","1.0","-","-","-","-","-","-","-"
"　E 製造業_　24 金属製品製造業__50～99人","17.0","1097.0","955.0","142.0","1049.0","915.0","134.0","-","-","-","-","-","-","-","17.0","1097.0","955.0","142.0","1049.0","915.0","134.0","17.0","1097.0","955.0","142.0","1049.0","915.0","134.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　24 金属製品製造業__100人以上","6.0","924.0","855.0","69.0","914.0","845.0","69.0","-","-","-","-","-","-","-","6.0","924.0","855.0","69.0","914.0","845.0","69.0","6.0","924.0","855.0","69.0","914.0","845.0","69.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　24 金属製品製造業__出向・派遣従業者のみ","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　24 金属製品製造業__(再掲)5人以下","167.0","459.0","331.0","128.0","220.0","150.0","70.0","104.0","261.0","193.0","68.0","111.0","72.0","39.0","63.0","198.0","138.0","60.0","109.0","78.0","31.0","61.0","195.0","135.0","60.0","106.0","75.0","31.0","2.0","3.0","3.0","-","3.0","3.0","-","-","-","-","-","-","-","-"
"　E 製造業_　24 金属製品製造業__(再掲)20人以下","284.0","1676.0","1277.0","399.0","1198.0","932.0","266.0","128.0","453.0","338.0","115.0","256.0","182.0","74.0","156.0","1223.0","939.0","284.0","942.0","750.0","192.0","154.0","1220.0","936.0","284.0","939.0","747.0","192.0","2.0","3.0","3.0","-","3.0","3.0","-","-","-","-","-","-","-","-"
"　E 製造業_　24 金属製品製造業_　240 管理，補助的経済活動を行う事業所","5.0","15.0","12.0","3.0","12.0","10.0","2.0","-","-","-","-","-","-","-","5.0","15.0","12.0","3.0","12.0","10.0","2.0","5.0","15.0","12.0","3.0","12.0","10.0","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　E 製造業_　24 金属製品製造業_　240 管理，補助的経済活動を行う事業所_1～4人","4.0","5.0","4.0","1.0","2.0","2.0","-","-","-","-","-","-","-","-","4.0","5.0","4.0","1.0","2.0","2.0","-","4.0","5.0","4.0","1.0","2.0","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
